曜日区分,時間,分,系統,行先,乗り場
平日,5,40,川51,新網島駅行→矢向西町,60
平日,6,12,川51,新網島駅行→矢向西町,60
平日,6,22,川51,新網島駅行→矢向西町,60
平日,6,39,川51,新網島駅行→矢向西町,60
平日,6,55,川51,新網島駅行→矢向西町,60
平日,7,4,川51,新網島駅行→矢向西町,60
平日,7,12,川51,新網島駅行→矢向西町,60
平日,7,20,川51,新網島駅行→矢向西町,60
平日,7,28,川51,新網島駅行→矢向西町,60
平日,7,36,川51,新網島駅行→矢向西町,60
平日,7,44,川51,新網島駅行→矢向西町,60
平日,7,52,川51,新網島駅行→矢向西町,60
平日,8,0,川51,新網島駅行→矢向西町,60
平日,8,8,川51,新網島駅行→矢向西町,60
平日,8,19,川51,新網島駅行→矢向西町,60
平日,8,31,川51,新網島駅行→矢向西町,60
平日,8,43,川51,新網島駅行→矢向西町,60
平日,8,57,川51,新網島駅行→矢向西町,60
平日,9,9,川51,新網島駅行→矢向西町,60
平日,9,21,川51,新網島駅行→矢向西町,60
平日,9,33,川51,新網島駅行→矢向西町,60
平日,9,45,川51,新網島駅行→矢向西町,60
平日,9,57,川51,新網島駅行→矢向西町,60
平日,10,9,川51,新網島駅行→矢向西町,60
平日,10,21,川51,新網島駅行→矢向西町,60
平日,10,33,川51,新網島駅行→矢向西町,60
平日,10,45,川51,新網島駅行→矢向西町,60
平日,10,57,川51,新網島駅行→矢向西町,60
平日,11,9,川51,新網島駅行→矢向西町,60
平日,11,21,川51,新網島駅行→矢向西町,60
平日,11,33,川51,新網島駅行→矢向西町,60
平日,11,45,川51,新網島駅行→矢向西町,60
平日,11,57,川51,新網島駅行→矢向西町,60
平日,12,9,川51,新網島駅行→矢向西町,60
平日,12,21,川51,新網島駅行→矢向西町,60
平日,12,33,川51,新網島駅行→矢向西町,60
平日,12,45,川51,新網島駅行→矢向西町,60
平日,12,57,川51,新網島駅行→矢向西町,60
平日,13,9,川51,新網島駅行→矢向西町,60
平日,13,21,川51,新網島駅行→矢向西町,60
平日,13,33,川51,新網島駅行→矢向西町,60
平日,13,45,川51,新網島駅行→矢向西町,60
