曜日区分,時間,分,系統,行先,乗り場
平日,6,4,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,6,19,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,6,31,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,6,43,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,6,48,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,6,59,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,6,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,12,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,22,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,28,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,35,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,43,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,51,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,7,59,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,7,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,15,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,23,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,31,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,39,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,47,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,8,55,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,3,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,11,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,19,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,27,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,37,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,47,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,9,57,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,10,7,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,10,17,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,10,29,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,10,41,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,10,53,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,11,5,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,11,17,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,11,29,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,11,41,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,11,53,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,12,5,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,12,17,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,12,29,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,12,41,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,12,53,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,13,5,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,13,17,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,13,29,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,13,41,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,13,53,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,14,5,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,14,17,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,14,29,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,14,41,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,14,53,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,15,5,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,15,17,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
平日,15,29,川54、55,新鶴見小学校南→川崎駅,新鶴見小学校南
