曜日区分,時間,分,系統,行先,乗り場
平日,6,2,川51、53、56,矢向西町→川崎駅,矢向西町
平日,6,28,川51、53、56,矢向西町→川崎駅,矢向西町
平日,6,29,川51、53、56,矢向西町→川崎駅,矢向西町
平日,6,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,6,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,6,53,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,2,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,11,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,15,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,18,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,24,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,25,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,35,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,37,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,45,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,48,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,7,59,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,4,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,10,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,12,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,20,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,21,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,28,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,32,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,36,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,44,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,52,川51、53、56,矢向西町→川崎駅,矢向西町
平日,8,54,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,0,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,8,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,11,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,30,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,48,川51、53、56,矢向西町→川崎駅,矢向西町
平日,9,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,6,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,24,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,42,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,10,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,0,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,18,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,36,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,54,川51、53、56,矢向西町→川崎駅,矢向西町
平日,11,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,12,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,30,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,48,川51、53、56,矢向西町→川崎駅,矢向西町
平日,12,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,6,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,24,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,42,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,13,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,0,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,18,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,36,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,54,川51、53、56,矢向西町→川崎駅,矢向西町
平日,14,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,12,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,27,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,15,59,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,15,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,17,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,27,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,37,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,16,57,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,3,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,17,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,27,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,35,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,37,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,51,川51、53、56,矢向西町→川崎駅,矢向西町
平日,17,57,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,17,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,23,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,27,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,37,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,39,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,55,川51、53、56,矢向西町→川崎駅,矢向西町
平日,18,57,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,7,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,11,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,17,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,27,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,27,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,37,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,43,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,53,川51、53、56,矢向西町→川崎駅,矢向西町
平日,19,57,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,3,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,13,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,19,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,23,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,36,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,41,川51、53、56,矢向西町→川崎駅,矢向西町
平日,20,49,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,2,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,3,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,15,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,25,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,26,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,39,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,47,川51、53、56,矢向西町→川崎駅,矢向西町
平日,21,48,川51、53、56,矢向西町→川崎駅,矢向西町
平日,22,8,川51、53、56,矢向西町→川崎駅,矢向西町
平日,22,9,川51、53、56,矢向西町→川崎駅,矢向西町
平日,22,30,川51、53、56,矢向西町→川崎駅,矢向西町
平日,22,31,川51、53、56,矢向西町→川崎駅,矢向西町
平日,22,52,川51、53、56,矢向西町→川崎駅,矢向西町
平日,22,53,川51、53、56,矢向西町→川崎駅,矢向西町
平日,23,12,川51、53、56,矢向西町→川崎駅,矢向西町
平日,23,32,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,6,2,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,6,29,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,6,47,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,6,53,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,7,2,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,7,29,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,7,35,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,7,50,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,7,55,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,8,11,川51、53、56,矢向西町→川崎駅,矢向西町
土曜,8,13,川51、53、56,矢向西町→川崎駅,矢向西町
